Name,Price,Brand,Processor,Ram,SSD,HDD,Weight,Display
Ноутбук DELL Vostro 5320 (210-BDEE-2),648 500 ₸,Dell,Intel Core i5,16,512 ГБ SSD,HDD нет,1.2,1.2
Ноутбук DELL Vostro 5620 (210-BDBL-6),529 990 ₸,Dell,Intel Core i5,8,256 ГБ SSD,HDD нет,1.8,1.8
Ноутбук DELL Vostro 5620 (210-BDBL-7),635 300 ₸,Dell,Intel Core i7,16,512 ГБ SSD,HDD нет,1.8,1.8
Ноутбук DELL Vostro 5620 (210-BDBL-8),679 990 ₸,Dell,Intel Core i7,16,512 ГБ SSD,HDD нет,1.8,1.8
Ноутбук DELL Latitude 5520 (210-AXVQ-4),629 700 ₸,Dell,Intel Core i5,8,256 ГБ SSD,HDD нет,1.7,1.7
Ноутбук DELL Vostro 7620 (210-BDVL-4),899 990 ₸,Dell,Intel Core i7,16,1 ТБ SSD,HDD нет,2,2
Ноутбук DELL Vostro 7620 (210-BDVL-3),869 990 ₸,Dell,Intel Core i7,16,512 ГБ SSD,HDD нет,2,2
Ноутбук DELL Vostro 7620 (210-BDVL-2),859 990 ₸,Dell,Intel Core i7,16,512 ГБ SSD,HDD нет,2,2
"Ноутбук ASUS VivoBook 15X X1503ZA, OLED (90NB0WY1-M008V0)",376 990 ₸,ASUS,Intel Core i5,8,512 ГБ SSD,HDD нет,1.7,1.7
Ноутбук DELL Vostro 3525 (210-BDRB-2),519 990 ₸,Dell,AMD Ryzen 7,16,512 ГБ SSD,HDD нет,1.6,1.6
Ноутбук DELL Vostro 3525 (210-BDRB-3),439 990 ₸,Dell,AMD Ryzen 5,8,512 ГБ SSD,HDD нет,1.6,1.6
Ноутбук ASUS X515EA (90NB0TY3-M00LS0),229 990 ₸,ASUS,Intel Core i3,8,256 ГБ SSD,HDD нет,1.6,1.6
"Ноутбук ASUS VivoBook Pro 15 K6500ZC, OLED (90NB0XK1-M00MJ0)",549 990 ₸,ASUS,Intel Core i5,16,512 ГБ SSD,HDD нет,1.8,1.8
Ноутбук Apple MacBook Pro A2338 с дисплеем Retina (MNEQ3),899 890 ₸,Apple,Apple M2,8,512 ГБ SSD,HDD нет,1.4,1.4
Ноутбук DELL Latitude 7330 (210-BDRU-2),733 100 ₸,Dell,Intel Core i5,16,512 ГБ SSD,HDD нет,1.1,1.1
Ноутбук DELL Latitude 7330 (210-BDRU-3),669 990 ₸,Dell,Intel Core i5,8,512 ГБ SSD,HDD нет,1.1,1.1
Ноутбук HP Omen 16-b1017ci (6M883EA),899 990 ₸,HP,Intel Core i7,16,1 ТБ SSD,HDD нет,2.3,2.3
Ноутбук HP Victus 16-e0080ur (4E1L2EA),553 900 ₸,HP,AMD Ryzen 5,8,512 ГБ SSD,HDD нет,2.4,2.4
Ноутбук DELL Latitude 7330 (210-BDRU-1),799 990 ₸,Dell,Intel Core i7,16,512 ГБ SSD,HDD нет,1.1,1.1
Ноутбук HP Victus 15-fa0016ci (6K5S1EA),399 990 ₸,HP,Intel Core i5,8,512 ГБ SSD,HDD нет,2.1,2.1
"Ноутбук ASUS VivoBook Pro 14 M3401QA, OLED (90NB0VZ3-M001N0)",375 900 ₸,ASUS,AMD Ryzen 5,8,512 ГБ SSD,HDD нет,1.5,1.5
"Ноутбук DELL XPS 15 9520, OLED (210-BDVF-10)",1 649 990 ₸,Dell,Intel Core i7,16,1 ТБ SSD,HDD нет,1.9,1.9
Ноутбук DELL XPS 15 9520 (210-BDVF-8),1 779 990 ₸,Dell,Intel Core i9,32,1 ТБ SSD,HDD нет,2.1,2.1
"Ноутбук DELL XPS 15 9520, OLED (210-BDVF-9)",1 679 990 ₸,Dell,Intel Core i7,16,1 ТБ SSD,HDD нет,1.9,1.9
Ноутбук DELL XPS 13 Plus 9320 (210-BDVD-3),1 499 990 ₸,Dell,Intel Core i7,16,1 ТБ SSD,HDD нет,1.2,1.2
Ноутбук Apple MacBook Pro A2338 с дисплеем Retina (MNEH3),789 990 ₸,Apple,Apple M2,8,256 ГБ SSD,HDD нет,1.4,1.4
Ноутбук Apple MacBook Air A2681 с дисплеем Retina Liquid (MLY13),699 990 ₸,Apple,Apple M2,8,256 ГБ SSD,HDD нет,1.2,1.2
Ноутбук Apple MacBook Air A2681 с дисплеем Retina Liquid (MLXW3),674 990 ₸,Apple,Apple M2,8,256 ГБ SSD,HDD нет,1.2,1.2
Ноутбук Apple MacBook Air A2681 с дисплеем Retina Liquid (MLXX3),899 890 ₸,Apple,Apple M2,8,512 ГБ SSD,HDD нет,1.2,1.2
Ноутбук Lenovo Ideapad 3 (81WE005WRK) (SN:SPF2NR9DF),159 990 ₸,Lenovo,Intel Core i3,4,SSD нет,1 ТБ HDD,1.7,1.7
